#v_mps, ax_max_machines_mps2
0.0, 4.2
0.25, 4.2
0.5, 4.2
0.75, 4.2
1.0, 4.2
1.25, 4.2
1.5, 4.2
1.75, 4.2
2.0, 4.2
2.25, 4.2
2.5, 4.2
2.75, 4.2
3.0, 4.2
3.25, 4.2
3.5, 4.2
3.75, 4.2
4.0, 4.2
4.25, 4.2
4.5, 4.2
4.75, 4.2
5.0, 4.2
5.25, 4.2
5.5, 4.2
5.75, 4.2
6.0, 4.2
6.25, 4.2
6.5, 4.2
6.75, 4.2
7.0, 4.2
7.25, 4.2
7.5, 4.2
7.75, 4.2
8.0, 4.2
8.25, 4.2
8.5, 4.2
8.75, 4.2
9.0, 4.2
9.25, 4.2
9.5, 4.2
9.75, 4.2
10.0, 4.2
10.25, 4.2
10.5, 4.2
10.75, 4.2
11.0, 4.2
11.25, 4.2
11.5, 4.2
11.75, 4.2
12.0, 4.2
12.25, 4.2
12.5, 4.2
12.75, 4.2
13.0, 4.2
13.25, 4.2
14.2, 4.2
13.75, 4.2
14.0, 4.2
14.25, 4.2
14.5, 4.2
14.75, 4.2
15.0, 4.2